title,description,location,requirements,published,views,replies,english_level,years_of_experience
Senior Python Developer,"We are young, creative and brave specialists. Our only mission is to Keep IT Sweet and Simple (K.I.S.S.) for you. It is our philosophy and sole aim. We are striving to make the process of IT development for you as simple and clear as one, two, three.",Україна,"PYTHON,MICROSERVICES,DEVELOPER,FAST,AIRFLOW,MONGODB,TENSORFLOW,AGILE",20 грудня 2023,29,6,,3
IoT developer  (LoRaWAN),Quintagroup is looking for LoRaWAN engineer  to join the development team of IoT solutions.,Україна,"PYTHON,DJANGO,GIT",21 грудня 2023,43,6,Intermediate,3
Senior Python Engineer IRC206424,Not specified,Україна,"PYTHON,DJANGO,MICROSERVICES,CI/CD",20 грудня 2023,129,45,Upper-Intermediate,3
Senior Python Developer,We are seeking a talented and experienced,"Релокейт,Болгарія,Угорщина,Польща,Словаччина","PYTHON,AWS,DEVELOPER,PYTORCH,AGILE",21 грудня 2023,92,15,Upper-Intermediate,3
Middle Python Developer with Experience in ML/NLP frameworks,Looking for middle Python Developer with Experience in ML/NLP frameworks,"Чехія,Польща,Португалія,Словаччина,Україна","DEVELOPER,PYTHON,AWS",21 грудня 2023,111,21,Upper-Intermediate,3
Python Developer,"We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.","Польща,Україна","PYTHON,AWS,DEVELOPER,PYTORCH,AGILE",21 грудня 2023,82,14,Upper-Intermediate,2
Middle Python Developer,"We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.","Кіпр,Польща,Словаччина,Туреччина,Болгарія","PYTHON,AWS,DEVELOPER,PYTORCH,AGILE,GIT",21 грудня 2023,44,14,Upper-Intermediate,2
Python Developer (Data engineering),Not specified,Україна,"SQL,PYTHON,AWS",21 грудня 2023,263,34,Intermediate,1
"Senior Python Developer(AI, ML experience)",Job Description:,"Болгарія,Кіпр,Польща,Словаччина,Туреччина","PYTHON,AWS,DEVELOPER,PYTORCH,AGILE",21 грудня 2023,36,6,Upper-Intermediate,3
Middle Python Developer,Not specified,"Кіпр,Німеччина,Іспанія,Польща,Португалія",SQL,21 грудня 2023,32,6,Intermediate,2
Senior Backend Engineer (Python),"Стек: Python 3.9, Django 4, DRF, Celery, PostgreSQL, Redis, Kafka, RabbitMQ, OpenAPI, Swagger, Pytest",Україна,"PYTEST,PYTHON,KUBERNETES,REST,DEVELOPER,WEBSOCKET,FASTAPI,REACT,CELERY,CI/CD,SQL,REDIS,SELENIUM,DJANGO,GIT",18 грудня 2023,44,4,Intermediate,5
Python Developer in Test (Apps),Not specified,"Релокейт,Україна","ANDROID,PYTHON,CI/CD",18 грудня 2023,105,8,,2
Python Developer,Not specified,Україна,"PYTHON,REST,LINUX,SQL,GIT",18 грудня 2023,333,164,Upper-Intermediate,2
Senior Python Backend Engineer,Not specified,Україна,"PYTHON,AWS,REST,FAST,DJANGO",18 грудня 2023,52,20,Upper-Intermediate,5
Lead AI Engineer,Role:,Україна,MICROSERVICES,19 грудня 2023,94,16,Pre-Intermediate,5
Middle Python Developer,Необхідні навички,Україна,"PYTHON,ANGULAR,REST,ELASTICSEARCH,DJANGO",19 грудня 2023,121,34,Intermediate,3
Senior Python developer,We’re looking for an experienced Python developer to join our team.,Україна,"PYTHON,DEVELOPER,AGILE,JAVASCRIPT",18 грудня 2023,51,11,Upper-Intermediate,5
Senior Full Stack Software Developer (Python+JS),We’re in search of an experienced Senior Full stack Software Developer ready to significantly impact on the product development of our groundbreaking Defense Platform. This platform is set to revolutionize the economics of cybercrime and we’re thrilled about its possibilities.,"Польща,Україна","PYTHON,AWS,DEVELOPER,GCP,JAVASCRIPT,CI/CD,SQL,HTML",18 грудня 2023,68,14,Upper-Intermediate,5
Senior Python Developer,The Germany based current customer of Particles Global is looking for a Senior Python Developer to join the team from January 2024.,"Німеччина,Україна","DEVELOPER,PYTHON,EXPRESS,AWS",20 грудня 2023,59,14,Upper-Intermediate,5
Looking Middle Python Developer,Looking Middle Python Developer,Україна,"PYTEST,PYTHON,GITLAB,WEBSOCKET,AWS,DEVELOPER,JAVASCRIPT",19 грудня 2023,86,24,Upper-Intermediate,3
Middle Python,"Ми запрошуємо молодшого розробника Python для участі у створенні високоякісних та ефективних програмних рішень. Вимоги включають базові знання Python, бажання вивчати нові технології та роботи з фреймворками.",Україна,"GIT,PYTHON,DJANGO,POSTGRESQL",20 грудня 2023,303,148,,1
Middle Python Developer,"We are looking for a passionate, energetic Python developer who will successfully deliver solutions for our customers due to their business goals.",Україна,"LINUX,DEVELOPER,PYTHON,REDIS",19 грудня 2023,122,27,,2
Senior Developer / CI Developer (IRC206222),"We are looking for a team to support us with Core System Application Integration, we are in need of an agile team, building test environments for new platforms and programs. We need support to design hardware rigs that are working with our software and electronic domain integration. Striving to maximize the test-value. Our rigs are part of our Continuous integration (CI) and provide feedback of the electrical system to enable high quality and robustness. We improve quality by enabling automated integration and visualizing the status of the system-under-test.",Польща,"PYTHON,LINUX,DEVELOPER,JENKINS,AGILE,GIT",20 грудня 2023,7,0,Upper-Intermediate,5
Middle Python Developer,Not specified,Україна,"PYTHON,REST,DEVELOPER,TENSORFLOW,POSTGRESQL",20 грудня 2023,106,32,Upper-Intermediate,3
Python/Django Engineer,Hey guys 👋,Україна,REACT,20 грудня 2023,84,8,Upper-Intermediate,3
Python Developer,Наша компанія знаходиться в пошуку колеги - Python розробника для участі у закордонних довгострокових веб-проектах.,Україна,"LINUX,PYTHON,GIT",18 грудня 2023,137,42,,2
Middle Strong Python Dev,"Codify is a Professional Software Development Powerhouse. Codify provides expert consulting, development and infrastructure services. We work on projects of different scales: from websites and mobile apps to enterprise systems and software solutions.","Україна,Ізраїль,Кіпр","DEVELOPER,AGILE,PYTHON",15 грудня 2023,94,10,Advanced/Fluent,3
Senior Python Developer (with AWS skills),"We are looking for a Python Developer (with AWS skills) for a new and cutting-edge stealth startup, with a goal to ensure risk-free software releases, while bridging the gap between engineering and security teams.",Україна,"PYTHON,AWS,DEVELOPER,JAVASCRIPT,AGILE",15 грудня 2023,34,7,Upper-Intermediate,5
Database Developer (Graph Databases),"If you’re looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you’ve found the right place to send your CV.",Україна,"PYTHON,AIRFLOW,GIT",15 грудня 2023,50,5,Upper-Intermediate,5
Python Developer,"Looking for a Python Developer to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your CV.",Україна,"DEVELOPER,PYTHON,FLASK-RESTFUL,HTML",18 грудня 2023,313,39,Intermediate,1
Middle Python/Machine Learning Software Engineer,Job Descriptio,Україна,"LINUX,PYTHON,GIT",15 грудня 2023,299,113,Upper-Intermediate,3
"Middle Python/Django developer, full stack (front preferable vue.js)","We are looking for an experienced Middle Python Developer ready to join our team and contribute to an innovative project in the tourism and hospitality industry. Our platform connects travel agency managers and hoteliers by providing a user-friendly booking system and travel marketplace. If you have an analytical mind, the ability to find solutions independently, and experience with Python, Django, Vue.js, and Docker, we are waiting for you!",Україна,"PYTHON,REST,DEVELOPER,VUE.JS,DJANGO",17 грудня 2023,82,16,Intermediate,2
Staff Software Engineer/Tech lead,"Tech Lead is a technical expert and a leader who plays a crucial role in guiding the development team, making technical decisions, and ensuring the successful delivery of a high-quality software product.",Україна,"MYSQL,PYTHON,AWS",18 грудня 2023,46,0,Advanced/Fluent,5
Python Lead,Not specified,Україна,"PYTHON,AWS,SQL,POSTGRES,AGILE",18 грудня 2023,21,6,Upper-Intermediate,5
Python Engineer (Poland),"We are a pioneer in the field of Enhanced Sensory AI, and are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.",Польща,"AWS,CELERY,CI/CD,SQL,DJANGO",18 грудня 2023,21,4,Upper-Intermediate,5
Middle/Senior Full Stack (Python / React.js / TypeScript),Not specified,Україна,"PYTHON,REST,REACT,JAVASCRIPT,POSTGRESQL",18 грудня 2023,46,8,Upper-Intermediate,3
Senior Python (Django) Developer,Not specified,"Швеція,Україна",AGILE,18 грудня 2023,60,19,Intermediate,5
Python Engineer,Not specified,Україна,"GIT,FLASK,AWS",18 грудня 2023,80,21,Upper-Intermediate,3
Python developer / strong junior,Not specified,Україна,PYTHON,18 грудня 2023,447,86,Pre-Intermediate,1
Senior Python developer (Location - Germany),Not specified,Німеччина,PYTHON,13 грудня 2023,42,2,Upper-Intermediate,5
Team Lead / Senior Python Engineer (Indigo Ag),We are looking for a Team Lead/Senior Software Engineer to join an Indigo Ag Engineering Organization. Indigo is determined to build a development center in Ukraine. Indigo Ag is a Unicorn Boston Startup with over 1200 employees.,Україна,"REDIS,PYTHON",13 грудня 2023,43,12,Upper-Intermediate,5
Senior Python Developer,"Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.",Україна,"PYTHON,AGILE,AWS",13 грудня 2023,25,3,Upper-Intermediate,5
Python Developer,"Join our team as an experienced Python Developer, where you will take a role in building and optimizing our AWS cloud infrastructure. This position requires hands-on experience with AWS services, proficiency in Python, and a strong background in deploying and managing infrastructure using Terraform.",Україна,"FASTAPI,PYTHON,CI/CD,AWS",13 грудня 2023,166,43,Intermediate,3
Senior Python Developer with AWS,Not specified,Україна,"PYTHON,AGILE,AWS",14 грудня 2023,37,5,Upper-Intermediate,5
Python Developer (Scraping),Looking for a,Україна,FLASK-RESTFUL,14 грудня 2023,321,51,Intermediate,1
Python Developer for EdTech company,Шукаємо КУРАТОРА/КУРАТОРКУ на курс Python Beginning у Projector Institute.,Україна,PYTHON,13 грудня 2023,58,4,Intermediate,3
Senior Python Developer with AWS,Project Description:,Україна,"PYTHON,AGILE,AWS",14 грудня 2023,31,5,Upper-Intermediate,5
Senior Python Developer,"Вітаю! Я Катерина, рекрутер Лінії магазинів EVA.",Україна,"DEVELOPER,PYTHON",15 грудня 2023,62,13,,3
Software Engineer (Python),What We Expect of You:,Україна,"PYTHON,AWS,KUBERNETES,REACT,JAVASCRIPT,JAVA,GOLANG",15 грудня 2023,49,6,Intermediate,3
Senior Software Engineer (Python),What We Expect of You:,Україна,"PYTHON,AWS,KUBERNETES,REACT,JAVASCRIPT,JAVA,GOLANG",15 грудня 2023,24,1,Intermediate,5
Team Lead Python/Django,We are seeking a highly skilled and experienced Team Lead Python/Django to join our dynamic team.,Україна,"PYTHON,CI/CD",14 грудня 2023,71,17,Upper-Intermediate,3
Scraping Engineer,Not specified,Україна,"LINUX,PYTHON,SQL,AWS",15 грудня 2023,208,49,Upper-Intermediate,2
Data Aggregation Specialist (Python),"Jooble is a Ukrainian product IT company that ranks in the top 10 most visited websites in the world in the Jobs and Employment segment. The company's main product is a job search website, which is used by around 90 million users in 67 countries around the world each month, both employers and job seekers. In addition, Jooble is developing an ecosystem of related products and investing in startups based on employment through Jooble Venture Lab.",Україна,"PYTHON,GITLAB,OOP,HTML,GIT",14 грудня 2023,203,69,,1
Python Engineer (OCR and Document Processing),Not specified,Україна,"SQL,FAST,PYTHON",11 грудня 2023,170,20,Upper-Intermediate,2
Python Developer,Not specified,Естонія,"PYTHON,AGILE",11 грудня 2023,409,122,Upper-Intermediate,1
Software Engineer with VoIP experience,We are looking for a Senior Software Engineer who will help us to build infrastructure for deploying real-time machine learning models.,Україна,PYTHON,11 грудня 2023,64,4,Upper-Intermediate,5
Middle to Senior Python Engineer,"As a Middle to Senior Python Engineer, you will be instrumental in developing complex applications, collaborating with cross-functional teams, and pushing the boundaries of what's possible with Python. Your extensive experience will guide the team towards maintaining best coding practices, ensuring efficient and high-quality software solutions.","Болгарія,Іспанія,Україна",PYTHON,11 грудня 2023,47,11,Upper-Intermediate,3
Middle Python Developer,"Looking for a Middle Python Developer to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your CV.","Польща,Україна","DEVELOPER,PYTHON,FLASK-RESTFUL,HTML",11 грудня 2023,182,27,Intermediate,2
Large Language Model (LLM) Engineer,"We are seeking a dedicated Large Language Model (LLM) Engineer to join our AI team. The ideal candidate will be responsible for developing, fine-tuning, and deploying language models to solve diverse business challenges. If you have a passion for and AI and a deep understanding of transformer architectures, this position might be for you.","Болгарія,Іспанія,Україна",,11 грудня 2023,28,3,Upper-Intermediate,3
Middle Python Developer,Наша співпраця передбачає роботу тільки в офісі в місті Дніпро!,Україна,"PYTHON,KUBERNETES,SWAGGER,REDIS,JAVA",11 грудня 2023,139,5,Intermediate,2
Python developer,"Наша компанія – це команда ентузіастів, що створюють передумови в IT галузі України для переходу із аутсорсу до роботи над власними продуктами. Разом із західними партнерами ми створили https://projectukraine.online і запускаємо декілька інноваційних та масштабних проєктів, які допомагатимуть українцям і світу.",Україна,"PYTHON,DJANGO,REST",12 грудня 2023,209,69,,2
Python developer на платформі Odoo,"Вітаю! Ми IT outsource компанія, яка зараз на шляху автоматизації своїх бізнес-процесів. Наразі ми створюємо нову команду для розробки продуктів на Odoo і шукаємо досвідченого розробника Python, який допоможе нам закласти основу команди.",Україна,"POSTGRESQL,PYTHON,JAVASCRIPT,GIT",12 грудня 2023,28,3,Pre-Intermediate,2
Senior Python Software Engineer with Data Science experience (in Europe),Not specified,Україна,PYTHON,12 грудня 2023,19,1,Upper-Intermediate,5
Senior Python Developer with AWS,"Project Description: Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.",Україна,AGILE,13 грудня 2023,32,2,Upper-Intermediate,5
Junior Python Developer (full stack),We are currently seeking a motivated and skilled Junior Python Developer with a passion for full-stack development.,Україна,"PYTHON,REST,LINUX,DEVELOPER,PANDAS,SQL,POSTGRES,DJANGO,GIT",12 грудня 2023,515,100,Intermediate,1
Senior Python Developer with AWS,"Project Description:Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.",Україна,"PYTHON,AGILE,AWS",13 грудня 2023,14,1,Upper-Intermediate,5
Python + Django,"JetUp Digital шукає розробника Python + Django, проєктна робота.",Україна,"PYTHON,DJANGO,REST",13 грудня 2023,630,193,Pre-Intermediate,1
Python (Odoo) Developer,"Вітаємо! Ми команда ToDo. Входимо до складу великої української ІТ team, що з 2003 року спеціалізується на автоматизації бізнес-процесів. Разом ми впроваджуємо IT-рішення від провідних вендорів і створюємо власні, щоб оптимізувати роботу виробництв, рітейлу, складів, автосервісів тощо.",Україна,"PYTHON,JAVASCRIPT,CSS,SQL,GITHUB,HTML",13 грудня 2023,174,37,,1
Senior - Regular Python Developer ( EST working hours),Not specified,Україна,"PYTHON,AWS,AIRFLOW,PANDAS,SQL",23 листопада 2023,91,14,Upper-Intermediate,3
Tech Lead Data Engineer (Python),Not specified,"Чехія,Україна","PYTHON,LINUX,JAVASCRIPT,SQL,DJANGO",10 грудня 2023,70,16,Intermediate,3
Junior Python Developer,You should be able to pick some code and understand how to integrate it in Django to build AI-Marketing Product. Our goal - create Auto-Marketer PPC Tool.,"Велика,Британія,Сполучені,Штати","PYTHON,DJANGO",10 грудня 2023,472,121,Pre-Intermediate,2
Pyton Developer 4+ years exp,Responsibilities:,Україна,REST,23 жовтня 2023,44,7,,5
Python developer with Cloud and DevOps experience,Project Description:,Україна,"MICROSERVICES,GITLAB,AWS,LINUX,K8S,AGILE,GIT",27 листопада 2023,67,12,Upper-Intermediate,2
